Date,Folio
03/10/1669,f2r
03/10/1669,f2r
03/10/1669,f2r
03/10/1669,f2r
03/10/1669,f2r
03/10/1669,f2r
03/10/1669,f2r
03/10/1669,f2r
03/10/1669,f2r
,
,f3r
,f3r
,f3r
,f3r
,
26/09/1741,f5r
26/09/1741,f5r
26/09/1741,f5r
26/09/1741,f5r
26/09/1741,f5r
26/09/1741,f5r
26/09/1741,f5r
26/09/1741,f5r
26/09/1741,f5r
26/09/1741,f5r
,
10/10/1741,f5r
10/10/1741,f5r
10/10/1741,f5r
10/10/1741,f5r
10/10/1741,f5r
10/10/1741,f5r
,
01/10/1669,f5v
01/10/1669,f5v
01/10/1669,f5v
01/10/1669,f5v
01/10/1669,f5v
01/10/1669,f5v
01/10/1669,f5v
01/10/1669,f5v
01/10/1669,f5v
01/10/1669,f5v
01/10/1669,f5v
01/10/1669,f5v
,
16/11/1669,f6r
16/11/1669,f6r
16/11/1669,f6r
16/11/1669,f6r
,
17/11/1669,f6r
17/11/1669,f6r
,
09/12/1669,f6v
09/12/1669,f6v
,
09/12/1669,f7r
09/12/1669,f7r
09/12/1669,f7r
09/12/1669,f7r
09/12/1669,f7r
09/12/1669,f7r
,
??/??/????,f7v
??/??/????,f7v
,
24/01/1670,f7v
24/01/1670,f7v
24/01/1670,f7v
24/01/1670,f7v
24/01/1670,f7v
24/01/1670,f7v
24/01/1670,f7v
24/01/1670,f7v
24/01/1670,f7v
24/01/1670,f7v
24/01/1670,f7v
24/01/1670,f7v
24/01/1670,f7v
,
,f8r
,f8r
,f8r
,f8r
,f8r
,f8r
,f8r
,f8r
,f8r
,f8r
,f8r
,f8r
,f8r
,f8r
,
07/02/1670,f8r
,
21/02/1670,f8r
,
07/03/1670,f8r
,
02/05/1670,f8v
02/05/1670,f8v
02/05/1670,f8v
,
09/05/1670,f8v
,
27/07/1670,f9r
,
13/10/1670,f9r
,
31/10/1670,f9r
,
22/02/1670,f9v
22/02/1670,f9v
22/02/1670,f9v
22/02/1670,f9v
,
22/02/1670,f10r
,
22/02/1670,f10v
22/02/1670,f10v
22/02/1670,f10v
22/02/1670,f10v
22/02/1670,f10v
22/02/1670,f10v
22/02/1670,f10v
22/02/1670,f10v
22/02/1670,f10v
,
12/26/70,f10v
12/27/70,f10v
,
10/07/1671,f11r
11/07/1671,f11r
,
30/08/1671,f11v
,
04/10/1671,f11v
04/10/1671,f11v
04/10/1671,f11v
,
09/10/1671,f11v
09/10/1671,f11v
09/10/1671,f11v
09/10/1671,f11v
09/10/1671,f11v
09/10/1671,f11v
09/10/1671,f11v
,
04/04/1671,f11v
04/04/1671,f11v
04/04/1671,f11v
04/04/1671,f11v
04/04/1671,f11v
04/04/1671,f11v
04/04/1671,f11v
04/04/1671,f11v
04/04/1671,f11v
,
05/05/1671,f12r
05/05/1671,f12r
05/05/1671,f12r
05/05/1671,f12r
05/05/1671,f12r
05/05/1671,f12r
,
05/05/1671,f12v
05/05/1671,f12v
05/05/1671,f12v
05/05/1671,f12v
05/05/1671,f12v
05/05/1671,f12v
05/05/1671,f12v
05/05/1671,f12v
05/05/1671,f12v
05/05/1671,f12v
,
02/06/1671,f13r
02/061671,f13r
02/061671,f13r
,
02/06/1671,f14r
02/06/1671,f14r
02/06/1671,f14r
02/06/1671,f14r
02/06/1671,f14r
02/06/1671,f14r
02/06/1671,f14r
02/06/1671,f14r
02/06/1671,f14r
,
01/07/1671,f14v
01/07/1671,f14v
01/07/1671,f14v
01/07/1671,f14v
01/07/1671,f14v
01/07/1671,f14v
01/07/1671,f14v
,
01/07/1671,f15r
01/07/1671,f15r
01/07/1671,f15r
01/07/1671,f15r
,
26/04/1670,f15r
26/04/1670,f15r
26/04/1670,f15r
26/04/1670,f15r
26/04/1670,f15r
,
26/04/1670,f15v
,
25/11/1671,f16r
25/11/1671,f16r
,
07/03/1672,f16r
07/03/1672,f16r
,
07/03/1672,f16r
,
07/03/1672,f16r
,
07/03/1672,f16v
07/03/1672,f16v
07/03/1672,f16v
07/03/1672,f16v
07/03/1672,f16v
07/03/1672,f16v
07/03/1672,f16v
07/03/1672,f16v
,
13/11/1671,f16v
,
13/11/1671,f16v
,
15/11/1671,f16v
15/11/1671,f16v
,
19/09/1719,f20r
19/09/1719,f20r
19/09/1719,f20r
19/09/1719,f20r
19/09/1719,f20r
19/09/1719,f20r
,
11/11/1718,f21r
11/11/1718,f21r
11/11/1718,f21r
11/11/1718,f21r
11/11/1718,f21r
11/11/1718,f21r
,
24/09/1739,f21r
24/09/1739,f21r
24/09/1739,f21r
24/09/1739,f21r
24/09/1739,f21r
24/09/1739,f21r
24/09/1739,f21r
24/09/1739,f21r
24/09/1739,f21r
,
??/01/1722,f21r
??/01/1722,f21r
??/01/1722,f21r
??/01/1722,f21r
??/01/1722,f21r
??/01/1722,f21r
??/01/1722,f21r
,
30/11/1724,f21v
30/11/1724,f21v
30/11/1724,f21v
30/11/1724,f21v
30/11/1724,f21v
30/11/1724,f21v
30/11/1724,f21v
,
30/11/1724,f21v
30/11/1724,f21v
,
10/02/1726,f21v
,
27/12/1727,f21v
,
25/04/1730,f21v
25/04/1730,f21v
,
09/02/1728,f22r
09/02/1728,f22r
09/02/1728,f22r
09/02/1728,f22r
09/02/1728,f22r
,
30/12/1724,f22r
30/12/1724,f22r
30/12/1724,f22r
30/12/1724,f22r
30/12/1724,f22r
,
03/05/1636,f22r
03/05/1637,f22r
03/05/1638,f22r
03/05/1639,f22r
,
09/10/1635,f22v
09/10/1635,f22v
09/10/1635,f22v
09/10/1635,f22v
09/10/1635,f22v
09/10/1635,f22v
09/10/1635,f22v
,
24/08/1715,f23r
24/08/1715,f23r
,
06/07/1737,f23r
,
14/11/1635,f23r
14/11/1635,f23r
14/11/1635,f23r
14/11/1635,f23r
14/11/1635,f23r
14/11/1635,f23r
,
14/11/1635,f23r
14/11/1635,f23r
,
14/11/1635,f23v
14/11/1635,f23v
,
14/11/1635,f23v
,
30/12/1635,f24r
30/12/1635,f24r
30/12/1635,f24r
30/12/1635,f24r
30/12/1635,f24r
,
23/01/1636,f24r
23/01/1636,f24r
23/01/1636,f24r
23/01/1636,f24r
23/01/1636,f24r
